,,,,,,
Liūtukas ir Ko,"Пельмени ""XL"" с мясом",XL dumplings stuffed with meat,"1,5 kg",40,4770090194076,Type
Liūtukas ir Ko,Экологические пельмени с говядиной,Organic dumplings stuffed with beef,400g,35,4770090194670,Type
Liūtukas ir Ko,Экологические пельмени с картошкой,Organic dumplings stuffed with potatoes,400g,25,4770090194694,Type
Liūtukas ir Ko,Экологические пельмени с творогом,Organic dumplings with cottage cheese,400g,35,4770090194687,Type
Uvic,"Пельмени ""Иван"" с мясом и чесноком ","Dumplings ""Ivan"" with meat and garlic stuffing",500g,30,4740223001502,Type
ARIOLS,Пельмени “Отто” с куриным мясом,"Dumplings ""Otto"" with chicken meat",400g,30,4750499004831,Type
ARIOLS,"Пельмени ""Бамбино""","Dumplings ""Bambino""",1 kg,?,4750499002455,Type
ARIOLS,"Пельмени ""Малыши""","Dumplings ""Babes""",400g,30,4750499002240,Type
ARIOLS,"Пельмени ""Экспрессо""","Dumplings ""Ekspresso""",2kg,?,4750499001342,Type
DAERS,"Пельмени ""Супер""","Dumplings ""Super""",2 kg,?,4751000805510,Type
DAERS,"Пельмени ""Сибирские""","Dumplings ""Sibirian""","2,5 kg",?,4751000800171,Type
,ВАРЕНИКИ,SWEET DUMPLINGS,WEIGHT,PRICE,BARCODE,Type
UVIC,Иван – Вареники казанские с творогом,"Kazan dumplings ""Ivan"" with cottage cheese",500g,25,4740223001571,Type
UVIC,Иван – Вареники рязанские с картошкой и грибами,"Ryazan dumplings ""Ivan"" with potatoes and mushrooms",500g,25,4740223001786,Type
UVIC,Иван – Вареники кубанские с вишней,"Kuban dumplings ""Ivan"" with cherries",500g,25,4740223001717,Type
JUDEX,Вареники с творогом и изюмом,Dumplings with cottage cheese and raisins,500g,30,4770274484610,Type
,Вареники Елисей с картофелем и грибами,Dumplings with potatoes and mushrooms,500g,30,4750499003650,Type
,КРАБОВЫЕ ПАЛОЧКИ,CRAB STICKS,WEIGHT,PRICE,BARCODE,Type
Эконом маркет,Крабовые палочки,Crab sticks,100g,10,4810168002749,Type
Санта Бремор,Крабовые палочки (замороженные),Crab sticks (frozen),200g,20,4810168001933,Type
Viči,Крабовые палочки Classic,"Classic. Crab taste sticks (from surimi, fast frozen)",100g,9,4770190036085,Type
Viči,Крабовые палочки Classic,"Classic. Crab taste sticks (from surimi, fast frozen)",240g,20,4770190036108,Type
Viči,Крабовые палочки,Crab sticks,300g,29,4770190037082,Type
Viči,Крабовые палочки,Crab sticks,150g,18,4770190036115,Type
,ГРИБЫ,MUSHROOMS,WEIGHT,PRICE,BARCODE,Type
Вологодская ягода,"Смесь лесных грибов ""Грибноe лукошко""","A mixture of wild mushrooms ""Mushroom basket""",300g,40,4607072907310,Type
Вологодская ягода,"Смесь лесных грибов, резаные ","A mixture of wild mushrooms, sliced",300g,40,4607072901516,Type
Вологодская ягода,Грибы белые,White mushrooms,300g,69,4607072901202,Type
,ЯГОДЫ,BERRIES,WEIGHT,PRICE,BARCODE,Type
Вологодская ягода,Брусника,cowberry,300g,32,4607072901158,Type
Вологодская ягода,Клюква садовая,Cranberry garden,300g,27,4607072903275,Type
Вологодская ягода,Облепиха,Sea buckthorn,300g,40,4607072900151,Type
,ТОРТЫ/ ПИРОЖНОЕ,CAKES,WEIGHT,PRICE,BARCODE,Type
Roshen,"Торт ""Золотые ворота""","Cake ""Golden Gate""",500g,90,4823077612350,Type
Roshen,"Торт ""Капучино""","Cake ""Cappuccino""",500g,90,4823005308430,Type
Roshen,"Торт ""Киевский""","Cake ""Kiev""",500g,90,4823005302797,Type
Roshen,"Торт ""Киевский""","Cake ""Kiev""",1 kg,170,,Type
Roshen,"Торт ""Cremolino""","Cake ""Cremolino""",1 kg,140,4823077611889,Type
Roshen,"Торт ""Chocolissimo""","Cake ""Chocolissimo""",1 kg,140,4823077611872,Type
ЛюксТорт,"Торт ""Аркадия""","Cake ""Arcadia""",1 kg,140,4823007009854,Type
Mirel,"Торт ""Крем- брюле""","Cake ""Cream- brulee""",750g,85,4607029340986,Type
Mirel,"Торт ""Снежность""","Cake ""Snezhnost""",800g,140,4607029348197,Type
Mirel,"Торт ""Прага""","Cake ""Prague""",600g,105,4660011130019,Type
Mirel,"Торт ""Долче Вишня""","Cake ""Dolce Cherry""",850g,115,4607029343307,Type
Mirel,"Торт ""3 Schokoladen""","Cake ""3 Schokoladen""",900g,150,,Type
Mirel,"Пирожное ""Муравейник""","Cake ""Anthill""",420g,50,4607029348166,Type
VH,"Торт ""Киевский""","Cake ""Kiev""",800g,140,,Type
VH,"Торт ""Коровка""","Cake ""Cow""",600g,55,,Type
VH,"Торт ""Наполеон""","Cake ""Napoleon""",500g,45,,Type
VH,"Торт ""Волшебный ключик""","Cake ""Magic Key""",550g,75,,Type
VH,"Торт ""Пломбирный""","Cake ""Plombirny""",950g,110,,Type
VH,"Торт ""Труфалдино""","Cake ""Trufaldino""",600g,75,,Type
VH,"Торт ""Грильяжный""","Cake ""Roasting""",800g,120,,Type
VH,"Торт ""Зорепад""","Cake ""Zorepad""",,110,,Type
VH,"Торт ""Медовый""",Honey cake,700g,60,,Type
VH,"Торт ""Медовый Premium""",Premium Honey Cake,600g,55,,Type
Усладов,Тирамису,Tiramisu,750g,100,4660011131054,Type
Усладов,"Бисквитный торт ""Латте""","Sponge cake ""Latte""",450g,50,4820060763877,Type
Усладов,"Торт ""Медовый""",Honey Cake,600g,55,4820060764621,Type
,"Торт ""Перекладец"" с черносливом и орехами","Cake ""Perekladets"" with prunes and nuts",1.1 kg,110,,Type
MILK PRODUCTS,,,,,,Type
,ТВОРОГ,COTTAGE CHEESE,WEIGHT,PRICE,BARCODE,Type
Н&В,Бабушкин творог полужирный – 15%,"""Grandmother's"" cottage cheese, 15%",470g,27,2702584004709,Type
Н&В,Бабушкин творог жирный – 30%,"""Grandmother's"" cottage cheese, 30%",470g,28,2702586004707,Type
Ole,Творог деревенский- 30%,"Rustic cottage cheese, 30%",470g,29,5903565000827,Type
Ole,Творог деревенский- 15%,"Rustic cottage cheese, 15%",470g,27,5903565000834,Type
Pieno žvaigždės,"Творог ""DVARO"", 0.5%","Cottage cheese ""DVARO"", 0.5%",250g,16,4770265046698,Type
Pieno žvaigždės,"Творог ""DVARO"", 9%","Cottage cheese ""DVARO"", 9%",250g,16,4770265046681,Type
Pieno žvaigždės,"Творог ""DVARO"", 15%","Cottage cheese ""DVARO"", 15%",250g,20,4770265046674,Type
Pieno žvaigždės,"Творог ""SVALIA"", 0.5%","Cottage cheese ""Svalia"", 0.5%",250g,16,4770265046667,Type
Pieno žvaigždės,"Творог ""SVALIA"", 9%","Cottage cheese ""Svalia"", 9%",250g,16,,Type
Pieno žvaigždės,"Творог ""SVALIA"", 15%","Cottage cheese ""Svalia"", 15%",250g,20,4770265046643,Type
JAUNPILS PIENOTAVA,"Творог, 0.5%","Cottage cheese, 0.5%",275g,16,4751004060038,Type
JAUNPILS PIENOTAVA,"Творог, 0.5%","Cottage cheese, 0.5%",600g,30,4751004060601,Type
JAUNPILS PIENOTAVA,"Творог, 9%","Cottage cheese, 9%",275g,16,4751004060021,Type
JAUNPILS PIENOTAVA,"Творог, 9%","Cottage cheese, 9%",600g,30,4751004060595,Type
JAUNPILS PIENOTAVA,"Творог, 15%","Cottage cheese, 15%",275g,16,4751004060625,Type
JAUNPILS PIENOTAVA,"Творог, 15%","Cottage cheese, 15%",600g,30,47510040606332,Type
,СЫР,CHEESE,WEIGHT,"PRICE, DKK",BARCODE,Type
Inlico,"Сулугуни ""Бабушкин домик в деревне"", 45%","Sulguni, 45% fat",400g,39,4260130031824,Type
Inlico,"Конченый сулугуни ""Бабушкин домик в деревне"", 45%","Smoked sulguni, 45% fat",360g,42,,Type
,КЕФИР,KEFIR,WEIGHT,PRICE,BARCODE,Type
Лучший выбор,"Кефир настоящий, 2%","Kefir, 2%",1 L,20,4260010128729,Type
Лучший выбор,"Кефир настоящий, 3.5%","Kefir, 2%",330g,12,4260010128163,Type
Лучшее из деревни,Кефир Кавказский домашний,Homemade Caucasian kefir,600g,20,4260010129368,Type
Pieno žvaigždės,"Кефир „Žemaitijos“, 2.5%","Kefir ""Zemaitijos"", 2.5%",500g,10,4770299042017,Type
Pieno žvaigždės,"Кефир „Žemaitijos“, 2.5%","Kefir ""Zemaitijos"", 2.5%",1 L,16,4770299042086,Type
Pieno žvaigždės,"Кефир “Dvaro”, 3,2%","Kefir ""Dvaro"", 3.2%",1L,15,4770265042911,Type
Pieno žvaigždės,"Кефир “Dvaro”, 3,2%","Kefir ""Dvaro"", 3.2%",500ml,10,4770265047206,Type
Baltais,"Кефир, 2%",Kefir 2%,1 kg,12,4750072020227,Type
,РЯЖЕНКА,RYAZHENKA,WEIGHT,PRICE,BARCODE,Type
Лучший выбор,"Ряженка, 3.5%","Ryazhenka, 3.5%",330g,12,4260010128170,Type
Pieno žvaigždės,Ряженка,Ryazhenka,500g,12,4770265042775,Type
Annele,"Ряженка, 3.2%","Ryazhenka, 3.2%",500g,12,4770265043987,Type
,СМЕТАНА,SOUR CREAM,WEIGHT,PRICE,BARCODE,Type
Молочная страна,"Сметана деревенская, 18%","Rustic sour cream, 18%",200g,9,5906245444591,Type
Рижский молочный комбинат,"Термизированная сметана ""Ромашка"", 25%","Sour cream ""Camomile"", 25%",350g,12,4750025342543,Type
Inlico,"Деревенская сметана ""Бабушкин домик в деревне"", 20%","Rustic sour cream ""Grandmother's house in village"", 20%",330g,10,4260130031725,Type
,МОЛОЧНЫЕ НАПИТКИ,MILK DRINKS,WEIGHT,PRICE,BARCODE,Type
Сваля,Банановый молочный напиток Мяу,"Banana milk drink ""Meow""",250 ml,8,4770237041386,Type
Сваля,Банановый молочный напиток Мяу,"Banana milk drink ""Meow""",450 ml,12,4770237041010,Type
Сваля,Клубничный молочный напиток Мяу,"Strawberry milk drink ""Meow""",450 ml,12,4770237041034,Type
Сваля,Шоколадный молочный напиток Мяу,"Chocolate milk drink ""Meow""",250 ml,8,4770237041393,Type
Сваля,Шоколадный молочный напиток Мяу,"Chocolate milk drink ""Meow""",450ml,12,4770237041126,Type
MEAT PRODUCTS,,,,,,Type
,ВАРЕННАЯ КОНЧЕНАЯ,SMOKED SAUSAGE,WEIGHT,PRICE,BARCODE,Type
,"Колбаса ""Серый Олень""","Sausage ""Grey Deer""",,200,,Type
,"Колбаса ""Юбилейная""","Sausage ""Anniversary""",,250,,Type
KELLER,"Колбаса ""Одесская""","Sausage ""Odessa""",~500g,90,,Type
Delikates,Для гурманов,For gourmets,~300g,150,2405856902,Type
,КОЛБАСА ВАРЕНАЯ,COOKED SAUSAGE,WEIGHT,PRICE,BARCODE,Type
Дымовские колбасы,"Колбаса вареная ""Любительская""","Cooked sausage ""Amateur""",380g,25,4260130031213,Type
Дымовские колбасы,"Колбаса варенная ""Докторская""","Cooked sausage ""Doctorskaya""",380g,25,4260130031398,Type
Дымовские колбасы,"Колбаса варенная ""Молочная""","Cooked sausages ""Dairy""",380g,25,4260130031404,Type
,СОСИСКИ,SAUSAGES,WEIGHT,PRICE,BARCODE,Type
Советский стандарт,Сосиски сливочные,Sausages,300g,20,4770058000319,Type
,МЯСНЫЕ ДЕЛИКАТЕСЫ,DELI MEATS,WEIGHT,PRICE,BARCODE,Type
Советский стандарт,Ушки свиные копченные,Smoked pork ears,~ 1kg,85,2610010008,Type
Советский стандарт,Щечки свиные конченные,Smoked pork cheeks,~ 1kg,75,2610016009,Type
Дымовские колбасы,Грудинка столичная,"Breast ""Capital""",~400g,100,2619050002,Type
Дымовские колбасы,Казы на ребре казахские,Kazakh kazy on the ribs,~500g,130,2619002004,Type
,САЛО,FAT,WEIGHT,PRICE,BARCODE,Type
Дымовские колбасы,Сало Сибирское бочковое,Siberian draught fat,~300g,100,2610122002,Type
Дымовские колбасы,Сало с чесноком От Ивана,"Fat with garlic ""From Ivan""",~400g,90,2610126003,Type
FISH PRODUCTS,,,,,,Type
,РЫБНЫЕ КОНСЕРВЫ,FISH IN CAN,WEIGHT,PRICE,BARCODE,Type
Lemberg Fisch,"Лосось, горбушка","Salmon, rump",70g,25,2800077000709,Type
Saldus galaskombinats,Сельдь натуральная с добавлениями масла,Herring natural with oil,240g,?,4750398900159,Type
Saldus galaskombinats,Килька обжаренная в масле,Sprat fried in oil,240g,?,4750398642240,Type
Bribais Vilnis,Крупные шпроты в масле,Large sprats in oil,240g,21,4750616001668,Type
Bribais Vilnis,Сардина натуральная с добавлениями масла,Sardine natural with oil,240g,?,4750616000432,Type
Bribais Vilnis,Сардина в томатном соусе,Sardines in tomato sauce,240g,?,4750616000401,Type
Либава,Карп в желейной заливке,Carp in jelly filling,180g,23,4750571003301,Type
Либава,Шпроты в масле,Sprats in oil,240g,?,4750571000348,Type
Либава,Большые шпроты в масле,Large sprats in oil,240g,?,4750571000508,Type
Либава,"Скумбрия Атлантическая, натуральная с добавлениями масла","Atlantic mackerel, natural with oil",240g,?,4750571000775,Type
,РЫБА В СТЕКЛЯНОЙ БАНКЕ,FISH IN GLASS,WEIGHT,PRICE,BARCODE,Type
Наши,Рыба копченая в масле,Smoked fish in oil,250g,25,5200345505252,Type
AMBERFISH,"Шпроты Сказка ""Золотистые шпроты""","Sprat ""Golden sprats""",250g,27,4751005703569,Type
,РЫБНЫЙ ПАШТЕТ,FISH PATE,WEIGHT,PRICE,BARCODE,Type
Bribais Vilnis,Паштет шпротный,Sprat pate,160g,21,4750616000463,Type
Leon,Паштет из лосося с чернослива,Salmon pate with prunes,185g,16,4751004282881,Type
Leon,Паштет из лосося,Salmon pate,170g,16,4751004284236,Type
,ИКРИНКА/ ИКРА,CAVIAR,WEIGHT,PRICE,BARCODE,Type
Санта Бремор,Икринка No1 классическая,"""Ikrinka No1"" classic",160g,20,4810168008253,Type
Санта Бремор,Икринка No2 с копченым лососем,"""Ikrinka No2"" with smoked salmon",160g,20,4810168008246,Type
Санта Бремор,"""Икрима"" икра мойвы с копченым лососем","Capelin caviar ""Ikrima"" with smoked salmon",165g,25,4810168030940,Type
Санта Бремор,"""Икрима"" икра мойвы подкопченная ","Smoked capelin caviar ""Ikrima""",165g,25,4810168030933,Type
,СЕЛЬДЬ,HERRING,WEIGHT,PRICE,BARCODE,Type
Санта Бремор,"Филе сельди ""Матиас"" приправы","Herring fillet ""Mathias"" with seasoning",250g,27,4810168000066,Type
Санта Бремор,"Филе сельди ""Матиас"" прованс","Herring fillet ""Mathias"" provence",250g,27,4810168002220,Type
Санта Бремор,"Филе сельди ""Матиас"" аромат дыма","Herring fillet ""Mathias"" with smoke flavor",250g,27,4810168000103,Type
Санта Бремор,"Филе сельди ""Матиас"" свежая зелень","Herring fillet ""Mathias"" with fresh greens",250g,27,4810168010607,Type
Санта Бремор,"Филе сельди ""Матиас"" оригинал","Herring fillet ""Mathias"" original",250g,27,4810168000011,Type
Elanders,"Сельдь филе ""МАТЬЕ"" в рапсовом масле ","Herring fillet ""Matje"" in rapeseed oil",650g,50,4750240233947,Type
Sanitex,"Филе сельди ""Шхуна"" с пряностями","Herring fillet ""Shhuna"" with seasoning",180g,23,4810168025083,Type
Sanitex,"Филе сельди ""Шхуна"" слабосоленое","Fresh-salted herring fillet ""Shhuna""",180g,23,4810168009373,Type
ZigmaS,Сельдь Атлантическая без головы с приправами,Atlantic herring without head with seasoning,"1,3 kg",60,4770221362022,Type
Viči,Традиционное филе Атлантической сельди в масле,Traditional Atlantic herring fillet in oil,240gr,23,4770190035781,Type
Viči,Традиционное филе Атлантической сельди в масле,Traditional Atlantic herring fillet in oil,400g,36,4770190350310,Type
Viči,Маринованное филе сельди в масле,Marinated herring fillet in oil,240gr,23,4770190035811,Type
Viči,Маринованное филе сельди в масле,Marinated herring fillet in oil,400g,36,4770190375443,Type
Viči,Розовое филе сельди холодного копчения в масле,Coled smoked pink herring fillet in oil,240gr,23,4770190035903,Type
Viči,Филе сельди в масле со вкусом дыма,Herring fillet in oil with smoke taste,240gr,23,4770190035798,Type
Viči,Маринованное филе сельди с приправами,Marinated herring fillet with herbs seasoning dressing,250g,24,4770190044967,Type
Viči,Маринованное филе сельди с освежающим соусом,Marinated herring fillet with refreshing dressing,250g,24,4770190044974,Type
Viči,"Филе сельди ""Весна"" с укропом в масле","Herring fillet ""Spring"" with dill in oil",200g,20,,Type
Norvelita,Деревенское филе Атлантичекой сельди,Rustic Atlantic herring fillet,240g,15,4770486165079,Type
Desė,"Филе сельди ""Елочка""","Herring fillet ""Herringbone""",300g,23,4770875164270,Type
Desė,Соленое филе сельди с грибами и овощами в майонезе,Salted herring fillet with mushrooms and vegetables in mayonnaise sauce,300g,22,4770875164102,Type
Desė,Соленое филе сельди со свеклой и другими овощами в майонезе,Salted herring fillet with beetroots and other vegetables in mayonnaise sauce,300g,22,4770875164126,Type
Edega,"Филе сельди ""Празничное""","Herring fillet ""Festive""",1kg,66,4770432199875,Type
ICECO,"Класическое филе сельди ""Зигмас"" в масле со вкусом дыма","Herring fillet ""Zigmas"" classic in oil with smoke favor",240g,22,4770221164121,Type
ICECO,"Малосольное класическое филе сельди ""Зигмас"" в масле","Fresg-salted herring fillet ""Zigmas"" classic in oil",240g,22,4770221164114,Type
ICECO,"Малосольное класическое филе сельди ""Зигмас"" в масле","Fresg-salted herring fillet ""Zigmas"" classic in oil",1kg,66,4770221165579,Type
Viči,Кусочки сельди с жареным луком,Pieces of herring with fried onion,200g,20,4770190087759,Type
Viči,Кусочки сельди с жареными семечками,Pieces of herring with fried sunflower seeds,200g,20,,Type
Viči,"Филе сельди ""Зима"" с луком в масле","Herring fillet ""Winter"" with onion in oil",200g,20,4770190352925,Type
Viči,Кусочки сельди с сушеными боровиками,Pieces of herring with dried boletus,200g,24,4770190087797,Type
Viči,Роллы из маринованного филе сельди с маринованными огурцами в масле,Marinated herring fillet rolls with canned cucumbers in oil,200g,24,,Type
Viči,Салат из Атлантической сельди со свеклой,Atlantic herrring salad with beetroots,400g,24,4770190065481,Type
Viči,Салад из сельди с овощами,Herring salad with vegetables,150g,12,4770190350563,Type
Viči,Салат из сельди с картошкой,Herring salad with potatoes,400g,18,4770190065504,Type
,Соленая сельдь с головой (ведро 4 кг),Slated herring with head in the bucket,4kg,200,,Type
Grundalas,Атлантическая сельдь с головой (в металическом контейнере),Special salted Atlantic herring with head (in metal container),"1,3kg",65,4770594206770,Type
Edega,Соленая сельдь с головой (в пластиковом контейнере),Salted herring with head (in plastic container),"1,3kg",65,4770432002250,Type
ICECO,"Соленые Атлантические сельди ""Зигмас"" без голов с приправами","Salted Atlantic herrings ""Zigmas"" without heads with seasoning","1,3kg",60,4770221362022,Type
,Сельдь с головой из ведра,Herring with head from a bucket,~250g,20,,Type
BALTIJAS ZIVIS - 97,"Филе сельди ""Матье"" в масле","Herring fillet ""Matje” in oil",200g,22,4750289001378,Type
BALTIJAS ZIVIS - 97,"Ассорти из филе сельди и овощей ""Морская орхидея""","Herring fillet and vegetables assorted “Sea orchid""",200g,27,4750289030132,Type
BALTIJAS ZIVIS - 98,Сельдь вьюнок в маринате с апельсинами,Herring bindweed in marinade with orange,300g,39,4750289001804,Type
LATIS,"Филе сельди ""Матье"" в масле","Herring fillet ""Matje"" in oil",200g,20,4751004070013,Type
LATIS,Филе сельди с ананасами в майонезе,Herring fillet in mayonnaise with pineapple,500g,36,4751004071799,Type
BERZCIEMS,Кусочки филе сельди,Pieces of herring fillet,250g,29,4750217001173,Type
BALTIJAS ZIVIS - 97,Кусочки филе скумбрии в масле,"Pieces of mackerel fillet ""Jums"" in oil",200g,27,,Type
BALTIJAS ZIVIS -97,"Конченое филе скумбрии ""Осень"" в томатном соусе","Fried mackerel fillets ""Autumn"" in tomato sauce",250g,27,,Type
KAIJA,Филе сельди в масле,"Herring fillet ""Gardums"" in oil",250g,24,,Type
KAIJA,Филе сельди по-Венгерски,Herring fillet Hungarian style,450g,35,,Type
KAIJA,Филе скумбрии в масле,Mackerel fillets in oil,170g,15,4751007730723,Type
BERZCIEMS,Роллы из маринованной сельди,Marinated herring rolls,500g,40,4750217602882,Type
DECENT,"Сельд филе ""Дымок"" в масле","Herring fillets ""Dymok"" in oil",200g,21,4750501001179,Type